"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0.6,1.74,8672.62,8748.74,8597.17
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0.6,2.03,3783.09,3841.45,3725.62
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0.6,2,15434.88,15612.49,15259.29
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0.6,3.02,426.69,433.85,419.64
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0.6,3.02,426.69,433.85,419.64
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0.6,1.98,257124.73,259339.56,254928.81
"'bowen-59320-aus-bom'",35,148.25,-20.025,0.6,2.99,232.27,236.81,227.81
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0.6,2.32,460576.81,463569.35,457603.6
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0.6,2.32,460576.81,463569.35,457603.6
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0.6,6.19,45.1,46.11,44.11
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0.6,6.19,45.1,46.11,44.11
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0.6,2.1,6526.48,6614.98,6439.17
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0.6,2.04,148.99,151.43,146.59
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0.6,2.87,547.72,554.84,540.69
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0.6,2.87,547.72,554.84,540.69
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0.6,2.73,1054.48,1067.8,1041.31
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0.6,2.73,1054.48,1067.8,1041.31
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0.6,1.65,689.78,701.74,678.01
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0.6,2.71,555.13,562.92,547.46
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0.6,1.8,469.89,480.14,459.86
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0.6,3.14,160.89,164.3,157.56
"'cape_ferguson-59260-aus-bom'",35,147.0583,-19.2767,0.6,3.07,217.03,221.08,213.05
"'cape_ferguson-h033007a-aus-bom'",30,147.05,-19.27,0.6,3.14,160.89,164.3,157.56
"'cardwell-h035012a-aus-bom'",25,146.03,-18.25,0.6,3.51,34.55,35.84,33.3
"'carnarvon-167a-aus-uhslc'",41,113.652,-24.898,0.6,2.1,326.28,331.83,320.82
"'carnarvon-62370-aus-bom'",41,113.651,-24.8987,0.6,2.1,326.28,331.83,320.82
"'clump_point-59168-aus-bom'",35,146.1053,-17.8515,0.6,2.9,321.51,327.21,315.92
"'cocos-171a-aus-uhslc'",32,96.892,-12.117,0.6,1.76,22225.76,22447.41,22006.3
"'coffs_harbour-205470-aus-bom'",20,153.1460611,-30.30285837,0.6,2.18,6879.27,6983.98,6776.12
"'cooktown-58940-aus-bom'",27,145.25,-15.4667,0.6,2.58,1597.23,1622.58,1572.28
"'cooktown-h066003a-aus-bom'",20,145.25,-15.45,0.6,2.69,413.53,422.92,404.35
"'crookhaven_heads-215408-aus-bom'",25,150.7592,-34.9066,0.6,1.98,3765.73,3822.78,3709.52
"crowdy_head_fuel_wharf_decomm-208470-aus-csiro",24,152.750811,-31.839236,0.6,2.18,5601.68,5678.03,5526.35
"'darwin-168a-aus-uhslc'",56,130.847,-12.472,0.6,4.66,1985.33,2005.87,1964.99
"'darwin-63230-aus-bom'",56,130.8459,-12.4718,0.6,4.66,1985.33,2005.87,1964.99
"'devonport-60930-aus-bom'",28,146.3833,-41.15,0.6,2.73,1264.72,1284.72,1245.03
"'eden-60530-aus-bom'",31,149.9083,-37.0712,0.6,2.04,6030.93,6105.68,5957.11
"'esperance-176a-aus-uhslc'",54,121.897,-33.87,0.6,1.88,1563.31,1580.11,1546.69
"'esperance-62080-aus-bom'",54,121.8954,-33.8709,0.6,1.88,1563.31,1580.11,1546.69
"'exmouth-62435-aus-bom'",25,114.1409,-21.9549,0.6,2.66,69.41,71.56,67.32
"'forster-209402-aus-bom'",24,152.5082112,-32.17398888,0.6,1.78,72965.15,73722.61,72215.47
"'fort_denison-333a-aus-uhslc'",103,151.227,-33.855,0.6,2.02,48511.6,48773.55,48251.06
"'fremantle-175a-aus-uhslc'",110,115.733,-32.05,0.6,1.88,322.27,325.33,319.23
"'fremantle-62230-aus-bom'",110,115.7395,-32.0558,0.6,1.88,322.27,325.33,319.23
"'geelong-60770-aus-bom'",43,144.3633,-38.1467,0.6,1.75,3495.85,3533.57,3458.53
"'georgetown-60950-aus-bom'",28,146.82,-41.11,0.6,2.71,980.13,995.37,965.12
"'geraldton-62290-aus-bom'",54,114.6019,-28.776,0.6,1.76,1969.98,1991.35,1948.85
"'gladstone-59750-aus-bom'",43,151.25,-23.8333,0.6,3.39,669.22,678.16,660.4
"'gold_coast_southport-60051-aus-bom'",22,153.4167,-27.9667,0.6,2,101977.02,103099.17,100867.09
"'goods_island-58200-aus-bom'",27,142.1486,-10.5639,0.6,3.04,162.71,166.34,159.16
"'groote_eylandt-145a-aus-uhslc'",34,136.417,-13.86,0.6,2.64,32.04,33.03,31.09
"'harvey-dvhar01-aus-bom'",27,115.6761,-32.6835,0.6,1.76,150.18,153.38,147.05
"'hay_point-59511-aus-bom'",35,149.3033,-21.2683,0.6,4.65,250.45,255.1,245.88
"'hillarys-132a-aus-uhslc'",28,115.738,-31.825,0.6,1.85,480.41,488.87,472.1
"'hillarys-62237-aus-bom'",28,115.7386,-31.8256,0.6,1.85,480.41,488.87,472.1
"'hobart-339a-aus-uhslc'",46,147.342,-42.877,0.6,1.92,1245.23,1260.73,1229.91
"'hobart-61220-aus-bom'",46,147.341,-42.8773,0.6,1.92,1245.23,1260.73,1229.91
"'home_island-46280-aus-bom'",32,96.8919,-12.1167,0.6,1.76,22225.76,22447.41,22006.3
"'hovell_pile-60721-aus-bom'",27,144.8987,-38.3271,0.6,1.75,2284.03,2318.92,2249.68
"'ince_point-58140-aus-bom'",28,142.3117,-10.575,0.6,3.13,64.72,66.43,63.05
"'jervis_bay-216470-aus-bom'",27,150.7076,-35.12200281,0.6,1.98,60092.39,60724.36,59467.01
"'jurien_bay-jujur01-aus-bom'",28,115.0428,-30.2872,0.6,1.76,2520.7,2557.83,2484.12
"'karumba-63580-aus-bom'",33,140.8333,-17.4917,0.6,3.87,28.44,29.31,27.6
"'lakes_entrance_inner_bullock_island-6057a-aus-bom'",33,147.9731,-37.8852,0.6,1.79,312.44,317.88,307.1
"'lord_howe_island-57720-aus-bom'",36,159.0582,-31.5236,0.6,2.26,8782.77,8880.94,8685.7
"'lord_howe-399a-aus-uhslc'",36,159.067,-31.517,0.6,2.26,8782.77,8880.94,8685.7
"'lord_howe-399b-aus-uhslc'",36,159.067,-31.517,0.6,2.26,8875.25,8975.04,8776.57
"'lorne-60790-aus-bom'",26,143.9888,-38.5472,0.6,2.22,21952.81,22221.01,21687.85
"'lucinda_offshore-59200-aus-bom'",33,146.385,-18.5217,0.6,3.05,336.63,342.69,330.67
"'mackay_outer_harbour-59510-aus-bom'",48,149.2333,-21.1167,0.6,4.52,184.06,187.17,181
"'melbourne_williamstown-60780-aus-bom'",54,144.9165,-37.8657,0.6,1.74,3379.35,3412.63,3346.4
"'melville_bay_gove_harbour-63480-aus-bom'",23,136.6717,-12.2067,0.6,2.93,285.85,292.07,279.75
"'milner_bay_groote_eylandt-63511-aus-bom'",34,136.4156,-13.8601,0.6,2.64,32.04,33.03,31.09
"'mooloolaba-59950-aus-bom'",35,153.12,-26.6867,0.6,2.12,27578.56,27856.33,27303.56
"'mourilyan_harbour-59140-aus-bom'",37,146.1167,-17.6,0.6,2.59,2525.05,2557.06,2493.45
"'newcastle-60310-aus-bom'",54,151.7889,-32.9238,0.6,2,24160.94,24344.33,23978.93
"'onslow_beadon_creek-62470-aus-bom'",34,115.1315,-21.6497,0.6,2.36,3066.23,3107.28,3025.73
"'patonga-212440-aus-bom'",27,151.27462,-33.55098053,0.6,2.05,39100.59,39503.66,38701.62
"'peel_inlet-plpee01-aus-bom'",31,115.713889,-32.592222,0.6,1.74,150.51,153.71,147.38
"'perth_barrack_street_jetty-6223a-aus-bom'",29,115.8573,-31.9597,0.6,1.82,365.2,371.59,358.91
"'point_lonsdale-60730-aus-bom'",56,144.6139,-38.2919,0.6,1.98,3881.4,3918.18,3844.96
"'point_richards_corio_bay-60757-aus-bom'",20,144.65,-38.1,0.6,1.77,3037.53,3091,2984.98
"'port_adelaide_inner_harbor-61610-aus-bom'",54,138.5,-34.85,0.6,3.24,54.58,55.65,53.53
"'port_adelaide_outer_harbor-61600-aus-bom'",77,138.4807,-34.7798,0.6,3.14,59.66,60.63,58.7
"'port_alma-59690-aus-bom'",36,150.8667,-23.585,0.6,3.72,1299.31,1317.67,1281.22
"'port_douglas-59040-aus-bom'",23,145.4667,-16.4833,0.6,2.67,1028.02,1046.07,1010.28
"'port_giles-61685-aus-bom'",26,137.7683,-35.0218,0.6,2.84,125.13,128.22,122.13
"port_hacking_decomm-214451-aus-csiro",24,151.14608,-34.076911,0.6,2.04,23199.15,23469.78,22931.64
"'port_hedland-169a-aus-uhslc'",43,118.575,-20.318,0.6,4.6,102.68,104.79,100.61
"'port_hedland-62590-aus-bom'",43,118.5744,-20.3176,0.6,4.6,102.68,104.79,100.61
"'port_kembla-342a-aus-uhslc'",38,150.912,-34.473,0.6,2,53498.17,53964.63,53035.75
"'port_kembla-60420-aus-bom'",38,150.91,-34.475,0.6,2,53498.17,53964.63,53035.75
"'port_lincoln-61900-aus-bom'",54,135.8701,-34.7159,0.6,2.49,132.51,134.74,130.3
"'port_macquarie-207420-aus-bom'",30,152.9109833,-31.42679171,0.6,2.05,3214.7,3260.68,3169.36
"'port_pirie-61800-aus-bom'",88,138.0117,-33.1776,0.6,3.61,28.87,29.43,28.33
"port_stephens_decomm-209450-aus-csiro",27,152.18224,-32.714881,0.6,2.05,29899.48,30215.57,29586.7
"'portland_victoria-129a-aus-uhslc'",40,141.613,-38.343,0.6,1.77,5725.26,5786.37,5664.79
"'portland-61410-aus-bom'",40,141.6197,-38.3514,0.6,1.77,5725.26,5786.37,5664.79
"'queenscliff-60732-aus-bom'",27,144.6626,-38.2728,0.6,1.69,3591.83,3638.54,3545.73
"'rosslyn_bay-330a-aus-uhslc'",28,150.79,-23.162,0.6,3.65,324.16,330.47,317.98
"'rosslyn_bay-59670-aus-bom'",28,150.7917,-23.1667,0.6,3.65,324.16,330.47,317.98
"'shute_harbour-59410-aus-bom'",28,148.7833,-20.2833,0.6,3.39,620.73,632.55,609.14
"'south_trees-h052026a-aus-bom'",25,151.3,-23.85,0.6,3.34,1211.75,1231.72,1192.11
"'spring_bay-335a-aus-uhslc'",35,147.932,-42.547,0.6,1.75,7143.92,7221.12,7067.56
"'spring_bay-61170-aus-bom'",35,147.9283,-42.5486,0.6,1.75,7143.92,7221.12,7067.56
"'sydney_port_jackson-213470-aus-bom'",31,151.2585,-33.8254,0.6,2.05,19536.16,19741.77,19332.7
"'thevenard-128a-aus-uhslc'",54,133.64,-32.15,0.6,2.79,174.76,177.56,172
"'thevenard-62000-aus-bom'",54,133.6413,-32.1489,0.6,2.79,174.76,177.56,172
"'thursday_island-58170-aus-bom'",21,142.2216,-10.5863,0.6,2.87,406.46,414.85,398.24
"'townsville-334a-aus-uhslc'",63,146.833,-19.25,0.6,3.18,188.57,191.26,185.91
"'townsville-59250-aus-bom'",63,146.8333,-19.25,0.6,3.18,188.57,191.26,185.91
"'turtle_head-58180-aus-bom'",25,142.2133,-10.5212,0.6,3.3,29.06,30.01,28.14
"tweed_heads_decomm-201431-aus-csiro",22,153.549642,-28.16945,0.6,1.98,74273.48,75170.69,73386.98
"'urangan-59850-aus-bom'",30,152.9083,-25.2983,0.6,3.07,2302.46,2331.8,2273.48
"'victor_harbor-61490-aus-bom'",51,138.6354,-35.5625,0.6,2.31,198.6,201.79,195.46
"'wallaroo-61780-aus-bom'",36,137.6152,-33.926,0.6,2.88,40.72,41.87,39.61
"'weipa_humbug_point-63620-aus-bom'",42,141.8633,-12.67,0.6,2.95,31.94,32.8,31.1
"'west_channel_pile-60739-aus-bom'",28,144.7552,-38.1944,0.6,1.73,2354.55,2387.73,2321.84
"'western_port_stony_point-60710-aus-bom'",37,145.2228,-38.3739,0.6,2.75,493.42,501.34,485.63
"'whyalla-61840-aus-bom'",29,137.5904,-33.0128,0.6,3.48,26.03,26.99,25.11
"'wyndham-165a-aus-uhslc'",44,128.102,-15.453,0.6,4.68,22708.13,22915.83,22502.3
"'wyndham-63090-aus-bom'",44,128.101,-15.4533,0.6,4.68,22708.13,22915.83,22502.3
"'yamba-60130-aus-bom'",25,153.3621,-29.429,0.6,1.92,192376.44,194339.31,190433.38
